identifier,topic,priority,notes,source_path
SEG-319,strategy_governance,2,□ 教务处、学堂在线、秀钟书院支持,response_1761904301289.json.normalized.txt
SEG-001,technology_system,3,“人工智能+高等教育”典型应用场景案例申报书,response_1761903861983.json.normalized.txt
SEG-008,technology_system,3,环境学院组建专项研发团队，携手学堂在线、智谱AI共同打造应用层、引擎层和模型层三层解耦的体系架构。其中，应用层从师生一线需求出发，接入学堂在线雨课堂智慧平台；引擎层依托全球首个环境学科落地应用系列工具“天工AI”系列技术成果，基于专业知识库,response_1761903861983.json.normalized.txt
SEG-009,technology_system,3,On the left  a dropdown menu under "My AI Course" lists the 10 selected courses  with "Environmental Engineering Princip,response_1761903861983.json.normalized.txt
SEG-012,technology_system,3,The overall design reflects the application layer of the AI engine  which is built upon the "Tiangong AI" series of tool,response_1761903861983.json.normalized.txt
SEG-013,technology_system,3,The interface is designed for student learning  providing personalized  on-demand support. It features a chat-based inte,response_1761903861983.json.normalized.txt
SEG-015,technology_system,3,The application leverages a multi-layered AI architecture. The application layer  built on the "Tiangong AI" series tech,response_1761903861983.json.normalized.txt
SEG-020,technology_system,3,该应用通过“应用层”与“学堂在线雨课堂智慧平台”对接，实现了从师生一线需求出发的智能服务，是“环境学科人工智能引擎”在教学场景中实现知识和功能双驱动的具体体现。,response_1761903861983.json.normalized.txt
SEG-021,technology_system,3,- **Application Layer**: The interface shows the integration of the "Tian Gong AI" series tools with the "Rain Classroom,response_1761903861983.json.normalized.txt
SEG-022,technology_system,3,- **Engine Layer**: The tool's ability to generate a question based on the content of the slide  as seen in the "One-Cli,response_1761903861983.json.normalized.txt
SEG-023,technology_system,3,- **Model Layer**: The AI's performance in generating a coherent and contextually relevant multiple-choice question demo,response_1761903861983.json.normalized.txt
SEG-032,technology_system,3,该架构实现了功能与知识的双驱动，三层结构相互对接又相对独立，确保各层升级互不干扰，共同提升了师生应用体验并尽力消除模型幻觉。,response_1761903861983.json.normalized.txt
SEG-033,technology_system,3,（二）技术突破内容,response_1761903861983.json.normalized.txt
SEG-048,technology_system,3,一、基本信息,response_1761903897184.json.normalized.txt
SEG-049,technology_system,3,(2)低代码与拖拽式开发,response_1761903897184.json.normalized.txt
SEG-050,technology_system,3,(3)工具箱的升级与维护,response_1761903897184.json.normalized.txt
SEG-056,technology_system,3,二、项目经费预算表,response_1761903897184.json.normalized.txt
SEG-063,technology_system,3,基于环境学科知识引擎的,response_1761904025700.json.normalized.txt
SEG-064,technology_system,3,岳东北,response_1761904025700.json.normalized.txt
SEG-065,technology_system,3,■近期，生成式人工智能展示了在生成文字、图像、代码、视频等方面的强大能力，大语言模型（LLM）处理复杂任务、多轮对话和超长文本的能力不断增强，大型多模态模型（LMM）正在教育等场景加强应用,response_1761904025700.json.normalized.txt
SEG-068,technology_system,3,高级创意写作能力,response_1761904025700.json.normalized.txt
SEG-070,technology_system,3,DeepSeek-V3模型更新，各项能力全面进阶，在网页端、APP和API全面上线，点击查看详情。,response_1761904025700.json.normalized.txt
SEG-071,technology_system,3,deepseek,response_1761904025700.json.normalized.txt
SEG-072,technology_system,3,与DeepSeek-V3和R1免费对话体验全新旗舰模型,response_1761904025700.json.normalized.txt
SEG-073,technology_system,3,DeepSeek官方推出的免费AI助手搜索写作阅读解题翻译工具,response_1761904025700.json.normalized.txt
SEG-074,technology_system,3,2025年1月，DeepSeekR1模型发布，展现出性能、场景与创新的多维竞争力。实现效率与精度双突破，在中文任务、代码生成、实时决策（零售库存联调、教育个性化推荐）等场景表现突出，具有开源生态与技术前瞻性,response_1761904025700.json.normalized.txt
SEG-083,technology_system,3,requireparticulartoolsorlibraries ithasnodatabaseabstractionlayer formvalidation oranyother,response_1761904025700.json.normalized.txt
SEG-088,technology_system,3,专业能力图谱「指导」,response_1761904025700.json.normalized.txt
SEG-089,technology_system,3,AI个性化学习规划引擎「驱动」,response_1761904025700.json.normalized.txt
SEG-091,technology_system,3,清华大学环境学科知识引擎架构,response_1761904025700.json.normalized.txt
SEG-093,technology_system,3,环境学科40年积累的具备高知识密度的萃取知识 (200万Token量级),response_1761904025700.json.normalized.txt
SEG-094,technology_system,3,- The materials include textbooks such as "Solid Waste Disposal and Resource Utilization " "Principles and Technology of,response_1761904025700.json.normalized.txt
SEG-096,technology_system,3,该流程最终服务于“清华大学环境学科知识引擎-学科知识图谱”的建设，是构建“AI学习中枢”和“课程式学习”功能模块的基础。,response_1761904025700.json.normalized.txt
SEG-097,technology_system,3,基于智能体的知识图谱构建,response_1761904025700.json.normalized.txt
SEG-098,technology_system,3,完整的知识图谱构建智能体工作流,response_1761904025700.json.normalized.txt
SEG-100,technology_system,3,清华大学环境学科知识引擎功能模块建设,response_1761904025700.json.normalized.txt
SEG-101,technology_system,3,清华大学环境学科知识引擎-课程式学习,response_1761904025700.json.normalized.txt
SEG-102,technology_system,3,On the left side  the following modules are connected:,response_1761904025700.json.normalized.txt
SEG-103,technology_system,3,On the right side  the following modules are connected:,response_1761904025700.json.normalized.txt
SEG-104,technology_system,3,The overall structure illustrates a comprehensive knowledge system designed to support the "能力培养为牵引的个性化学习" (ability-orie,response_1761904025700.json.normalized.txt
SEG-115,technology_system,3,雨洪水动力模型,response_1761904025700.json.normalized.txt
SEG-125,technology_system,3,清华大学环境学科知识引擎-个性化学习,response_1761904025700.json.normalized.txt
SEG-133,technology_system,3,清华大学环境学科知识引擎-精选学习资源,response_1761904025700.json.normalized.txt
SEG-136,technology_system,3,Water and Wastewater Treatment Engineerin...,response_1761904025700.json.normalized.txt
SEG-137,technology_system,3,老师：左剑恶,response_1761904025700.json.normalized.txt
SEG-141,technology_system,3,TREATMENT ENGINEERING,response_1761904025700.json.normalized.txt
SEG-144,technology_system,3,WATER AND WASTEWATER,response_1761904025700.json.normalized.txt
SEG-145,technology_system,3,BIOCHEMICAL TECHNOLOGY,response_1761904025700.json.normalized.txt
SEG-147,technology_system,3,水处理工程-生化技术,response_1761904025700.json.normalized.txt
SEG-152,technology_system,3,学科引擎和虚拟仿真资源共同支撑学习范式变革,response_1761904025700.json.normalized.txt
SEG-158,technology_system,3,环境学科系统设计教学模块,response_1761904025700.json.normalized.txt
SEG-162,technology_system,3,平台通过构建AI助教、助学、评价与诊断功能，实现对环境学科知识的智能化应用。核心是环境学科知识引擎，该引擎服务于科研工作，能够快速提供学科前沿资讯，并在五分钟内生成超越ChatGPT DeepSearch水平的综述文章，支持一键撰写研究报告,response_1761904025700.json.normalized.txt
SEG-163,technology_system,3,界面中，用户可通过“任务列表”选择“垃圾进料”等模块进行学习，平台以三维模型直观展示焚烧炉的结构与工作流程，并通过“设备介绍”、“反应机理”等标签提供详细知识，实现对专业知识的深度理解与应用。,response_1761904025700.json.normalized.txt
SEG-165,technology_system,3,平台集成AI助教、助学、评价与诊断功能，通过“物质循环-元素选择”等智能模块，支持用户一键生成研究报告，五分钟掌握学科前沿资讯，五分钟生成超越ChatGPT DeepSearch水平的综述文章。,response_1761904025700.json.normalized.txt
SEG-168,technology_system,3,互为支撑,response_1761904025700.json.normalized.txt
SEG-169,technology_system,3,环境学科知识引擎,response_1761904025700.json.normalized.txt
SEG-171,technology_system,3,一键撰写研究报告,response_1761904025700.json.normalized.txt
SEG-173,technology_system,3,The presence of such detailed  formulaic content highlights the need for sophisticated  domain-specific intelligent agen,response_1761904025700.json.normalized.txt
SEG-174,technology_system,3,一周快速完成专业领域报告从0到1的撰写,response_1761904025700.json.normalized.txt
SEG-175,technology_system,3,拖拽式快速实现智能体工作流设计，自由调整实验方案,response_1761904025700.json.normalized.txt
SEG-179,technology_system,3,藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藻藥藥藥藥藥藥藥藥藥藥藥藥藥藥藥藥藥藥藥藥,response_1761904025700.json.normalized.txt
SEG-187,technology_system,3,平台界面显示了“环境智能教学助手”功能，包含“智能问答”、“智能写作”、“智能分析”、“智能评估”等模块，支持用户进行问题提问和内容生成。,response_1761904025700.json.normalized.txt
SEG-189,technology_system,3,相关技术组件包括tiangong-ai-mcp、tiangong-ai-langgraph-server、liangong-ai-langgraph-server和T1iangGong-Al-Unstructure等开源项目。,response_1761904025700.json.normalized.txt
SEG-193,technology_system,3,第二批 人工智能+高等教育 应用场景典型案例名单,response_1761904025700.json.normalized.txt
SEG-197,technology_system,3,环境学科人工智能引擎的探索与实践,response_1761904025700.json.normalized.txt
SEG-208,technology_system,3,环境学科人工智能引擎的探索与实践,response_1761904336509.json.normalized.txt
SEG-209,technology_system,3,01 引言,response_1761904336509.json.normalized.txt
SEG-219,technology_system,3,04 清华大学环境学科在人工智能赋能教育中的探索,response_1761904336509.json.normalized.txt
SEG-222,technology_system,3,4.2 打造三层解耦体系架构,response_1761904336509.json.normalized.txt
SEG-223,technology_system,3,The system is structured into three distinct layers:,response_1761904336509.json.normalized.txt
SEG-224,technology_system,3,The system's capabilities are supported by a "Model Foundation" that includes AI technologies  with a focus on model tra,response_1761904336509.json.normalized.txt
SEG-232,technology_system,3,[6] 齐剑川  史文杰  徐常青  等. 生成式人工智能在环境工程中的应用前瞻[J]. 环境工程学报  2024  18(9): 2375-2380.,response_1761904336509.json.normalized.txt
SEG-235,technology_system,3,清华大学环境学科,response_1761904301289.json.normalized.txt
SEG-237,technology_system,3,https://www.tiangong-earth/ai,response_1761904301289.json.normalized.txt
SEG-241,technology_system,3,M,response_1761904301289.json.normalized.txt
SEG-243,technology_system,3,大型语言模型 (Large Language Model) 是指使用大量型。这些模型通常使用深度学习技术  如神经网络来训语言模型可以用来进行各种自然语言处理任务  如文本,response_1761904301289.json.normalized.txt
SEG-244,technology_system,3,人工智能相关概念之间的关系（新旧AI范式同等重要）,response_1761904301289.json.normalized.txt
SEG-245,technology_system,3,基于大模型的生成式人工智能(GENERATIVE AI),response_1761904301289.json.normalized.txt
SEG-251,technology_system,3,Microsoft integrates a version of ChatGPT into its Bing search engine. Google,response_1761904301289.json.normalized.txt
SEG-253,technology_system,3,7,response_1761904301289.json.normalized.txt
SEG-257,technology_system,3,大模型,response_1761904301289.json.normalized.txt
SEG-260,technology_system,3,> 传统机器学习能力的边界很清晰，大模型的能力边界模糊且不断扩展。,response_1761904301289.json.normalized.txt
SEG-261,technology_system,3,传统机器学习是“专才”，大模型是“通才”+“意外天赋”,response_1761904301289.json.normalized.txt
SEG-264,technology_system,3,大模型智能体与传统机器学习的协同增效,response_1761904301289.json.normalized.txt
SEG-265,technology_system,3,$\succ$  大模型作为智能体，可以灵活调度这些模型，把它们嵌入到更复杂的任务链路里。,response_1761904301289.json.normalized.txt
SEG-266,technology_system,3,基于机器学习的模型,response_1761904301289.json.normalized.txt
SEG-269,technology_system,3,·记忆与反馈：记录调整效果，类似工况下更快找到合适方案,response_1761904301289.json.normalized.txt
SEG-271,technology_system,3,人类专家尝试了本次实验中智能体建议的10种初始药物（AI建议使用ARP 19细胞和流式细胞术模拟）,response_1761904301289.json.normalized.txt
SEG-282,technology_system,3,技术普及与融合,response_1761904301289.json.normalized.txt
SEG-293,technology_system,3,Flask is a micro web framework written in Python. It is classified as a microframework because it does not,response_1761904301289.json.normalized.txt
SEG-297,technology_system,3,哈佛大学《计算机科学概论》任课教师展示人工智能助教,response_1761904301289.json.normalized.txt
SEG-303,technology_system,3,学科知识引擎「支撑」,response_1761904301289.json.normalized.txt
SEG-311,technology_system,3,02,response_1761904301289.json.normalized.txt
SEG-323,technology_system,3,- The setting is an indoor educational or training environment  likely a university or research institution  reflecting ,response_1761904301289.json.normalized.txt
SEG-327,technology_system,3,环境学科人工智能引擎的探索与实践,response_1761904301289.json.normalized.txt
SEG-335,technology_system,3,The database includes:,response_1761904301289.json.normalized.txt
SEG-336,technology_system,3,The data is organized by type  with visualizations showing the number of records and chunks over time for journals  ESG ,response_1761904301289.json.normalized.txt
SEG-338,technology_system,3,| 课程名称 | 已处理资料 (已完成/总量) | 工作总结 | 处理进度 |  |,response_1761904301289.json.normalized.txt
SEG-339,technology_system,3,The processing of these materials  including textbooks  course slides  and reference books  has resulted in a knowledge ,response_1761904301289.json.normalized.txt
SEG-340,technology_system,3,基础：清华天工环境大模型,response_1761904301289.json.normalized.txt
SEG-345,technology_system,3,环境领域专业问题上表现更精准、响应更迅速，适用于实时评估和政策决策支持等应用场景,response_1761904301289.json.normalized.txt
SEG-346,technology_system,3,> 利用多层级智能体应用框架研发专业领域智能体,response_1761904301289.json.normalized.txt
SEG-347,technology_system,3,单元工作层以Unit Agents为核心，包含Basic Function和Graph Agent两种类型，其工作流程包括检索、文档评分、条件判断、生成和查询转换等节点。,response_1761904301289.json.normalized.txt
SEG-348,technology_system,3,完整工作层由Team Agents构成，包含Unit Agents1、Unit Agents2-1、Unit Agents2-2等，通过协作完成任务，最终输出为Unit Agents 3，体现了一种“ONE WAY”单向推进的工作模式。,response_1761904301289.json.normalized.txt
SEG-351,technology_system,3,第三阶段,response_1761904301289.json.normalized.txt
SEG-030,implementation_process,4,在技术应用创新方面，吸取现阶段大模型在环境可持续领域落地实践和技术经验，改善大模型在教学领域因掌握知识不足，无法提供有效回答的痛点，为大模型赋能教育智慧化发展提供技术基础。创新性地构建了模型、引擎、应用三层解耦体系架构，三个层级相互对接又相,response_1761903861983.json.normalized.txt
SEG-046,implementation_process,4,“环境学科人工智能引擎在协助设计课后习题和准备讲义方面非常实用。我能够使用它根据课程内容和学生的学习情况自动生成课后习题，并提供详细的答案模板，还能根据知识点自动生成讲义，更高效地为老师准备教学辅助材料，不仅减轻了我们的工作量，还提高了工作,response_1761903861983.json.normalized.txt
SEG-057,implementation_process,4,(一)设备费：指项目实施过程中购置或试制专用仪器设备，对现有仪器设备进行升级改造。计算类仪器设备和软件工具可在设备费科目列支。,response_1761903897184.json.normalized.txt
SEG-058,implementation_process,4,(二)业务费：指项目实施过程中消耗的各种材料、辅助材料等费用，发生的测试化验加工、出版/文献/信息传播/知识产权事务、会议/差旅/国际合作交流等费用，教学科研仪器设备、实验室的维护修理等相关支出。,response_1761903897184.json.normalized.txt
SEG-059,implementation_process,4,(三)劳务费：指项目实施过程中支付给参与项目的研究生、博士后、访问学者和项目聘用的研究人员、科研辅助人员等的劳务性费用，以及支付给临时聘请的咨询专家的费用等。相关费用人员发放标准按照学校规定发放。,response_1761903897184.json.normalized.txt
SEG-060,implementation_process,4,(四)预算调整：各资助人按照建设任务和经费执行相关性原则，严格执行预算，一般不作调整。如确因特殊需要，项目支出结构之间需要调整的，请及时沟通。预算调整说明提交学科办和财务处备案。,response_1761903897184.json.normalized.txt
SEG-061,implementation_process,4,(五)承担单位及项目负责人承诺认真履行有关科研诚信和社会信用管理各项规定，严格遵守《清华大学建设世界一流大学(学科)和特色发展引导专项资金管理办法》《清华大学自主科研计划实施办法》等相关规定，合理标注研究成果、合理使用经费。,response_1761903897184.json.normalized.txt
SEG-062,implementation_process,4,(六)学科建设经费不能列支物业费、保洁费、餐费、行政办公设备家具费、行政人员费、事业编制人员费。,response_1761903897184.json.normalized.txt
SEG-085,implementation_process,4,清华大学AI赋能教学实践,response_1761904025700.json.normalized.txt
SEG-095,implementation_process,4,持续扩充,response_1761904025700.json.normalized.txt
SEG-148,implementation_process,4,结合师生试用意见持续优化,response_1761904025700.json.normalized.txt
SEG-149,implementation_process,4,| 第二阶段 | 引擎层与应用层衔接 | 个性化学习空间 | 个性化学习路径 | ■初步建成个性化学习空间，实现学生个性化学习 路径规划，并具备24小时智能学伴、智能出题和 资源推荐等功能 ■组织68人试用，反馈意见70条，持续优化改进 |,response_1761904025700.json.normalized.txt
SEG-177,implementation_process,4,环境学科引擎开发与应用体系,response_1761904025700.json.normalized.txt
SEG-180,implementation_process,4,- 面向教学与科研应用可落地系列智能体工具,response_1761904025700.json.normalized.txt
SEG-183,implementation_process,4,电 电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电电,response_1761904025700.json.normalized.txt
SEG-184,implementation_process,4,掌握AI落地的开发和应用技术,response_1761904025700.json.normalized.txt
SEG-198,implementation_process,4,01 引言,response_1761904025700.json.normalized.txt
SEG-220,implementation_process,4,知识和场景化理解，目前主要依托基础模型能力，应用效果仍需提升。现阶段，其在高等教育领域落地面临专业知识覆盖不足、场景认知理解欠缺、知识更新滞后、模型优化不足等多项挑战。针对上述挑战，清华大学环境学院在人工智能赋能教育实践中，充分利用了学院生,response_1761904336509.json.normalized.txt
SEG-288,implementation_process,4,□ 国际上高等教育领域的AI应用涵盖教学、科研、管理等多个层面，呈现出丰富多样的创新实践,response_1761904301289.json.normalized.txt
SEG-299,implementation_process,4,清华大学的AI赋能教学实践,response_1761904301289.json.normalized.txt
SEG-328,implementation_process,4,01 引言,response_1761904301289.json.normalized.txt
SEG-330,implementation_process,4,2.2人才培养模式单一，缺乏个性化和创新性,response_1761904301289.json.normalized.txt
SEG-349,implementation_process,4,21 教学应用：清华大学环境学科人工智能知识引擎,response_1761904301289.json.normalized.txt
SEG-350,implementation_process,4,第一阶段,response_1761904301289.json.normalized.txt
SEG-002,teaching_innovation,5,年 月 日,response_1761903861983.json.normalized.txt
SEG-003,teaching_innovation,5,二、背景（300字以内）,response_1761903861983.json.normalized.txt
SEG-004,teaching_innovation,5,本案例构建环境学科人工智能引擎，全链条多系统跨介质整合环境专业课程，促进环境学科交叉融通。采用模型、引擎、应用三层解耦体系架构，运用先进人工智能技术整合优化教学资源，为师生提供24小时智能学伴、智能备课、智能批改、智能出题等全方位服务，提升,response_1761903861983.json.normalized.txt
SEG-006,teaching_innovation,5,（一）需求分析,response_1761903861983.json.normalized.txt
SEG-007,teaching_innovation,5,（二）技术研发,response_1761903861983.json.normalized.txt
SEG-010,teaching_innovation,5,The central area features a prominent "24-hour Intelligent Learning Companion" function. It presents a physics problem r,response_1761903861983.json.normalized.txt
SEG-011,teaching_innovation,5,At the bottom of the screen  a chat input bar invites users to ask questions  such as "Have learning difficulties? Ask y,response_1761903861983.json.normalized.txt
SEG-014,teaching_innovation,5,The interface is structured to facilitate interactive learning. On the left  a navigation panel lists core AI features: ,response_1761903861983.json.normalized.txt
SEG-017,teaching_innovation,5,1.  **智能备课助手**：在“水处理工程”课程的“AI应用”界面中，教师可直接向智能助手发出指令，例如“帮我推荐一些关于水处理工程的专业书籍和最新研究论文”。系统随即根据课程内容，从海量知识库中检索并生成结构化的推荐列表，包含专业书籍和,response_1761903861983.json.normalized.txt
SEG-018,teaching_innovation,5,2.  **24小时智能学习伙伴**：该应用为学生提供全天候的智能学习支持。在“智能备课助手”功能模块中，学生可利用“指令库”功能，通过自然语言指令获取帮助，例如请求系统提供知识点详解或习题解答，实现即时反馈与指导。,response_1761903861983.json.normalized.txt
SEG-019,teaching_innovation,5,3.  **资源推荐**：系统具备强大的资源检索与推荐能力。在“智能备课助手”界面中，系统不仅推荐了专业书籍和论文，还关联了“其他参考资料”，如美国环保署（EPA）的官方手册和报告，帮助学生拓展知识面，进行深入研究。,response_1761903861983.json.normalized.txt
SEG-024,teaching_innovation,5,- **Application Optimization**: The tool's features directly support the described applications. For teachers  it offers,response_1761903861983.json.normalized.txt
SEG-025,teaching_innovation,5,界面左侧为功能导航栏，包含“运行概览”、“应用洞察”、“智能预警”、“学生画像”、“教学评价”、“智能报告”、“运行明细”和“运行调研”等模块，这些功能均服务于教学运行的智能化管理与分析。,response_1761903861983.json.normalized.txt
SEG-029,teaching_innovation,5,（一）主要创新内容,response_1761903861983.json.normalized.txt
SEG-031,teaching_innovation,5,- **应用层**：位于架构最顶层，直接面向师生需求，接入新生助手、网络学堂、雨课堂等教学平台，实现精准响应。,response_1761903861983.json.normalized.txt
SEG-034,teaching_innovation,5,（三）应用实践突破内容,response_1761903861983.json.normalized.txt
SEG-036,teaching_innovation,5,（四）知识产权情况,response_1761903861983.json.normalized.txt
SEG-038,teaching_innovation,5,（二）社会经济价值,response_1761903861983.json.normalized.txt
SEG-042,teaching_innovation,5,（一）案例获奖情况,response_1761903861983.json.normalized.txt
SEG-043,teaching_innovation,5,（二）用户评价,response_1761903861983.json.normalized.txt
SEG-044,teaching_innovation,5,“环境工程原理”任课教师席劲瑛：“环境学院牵头开发的环境学科人工智能引擎，表现出了比单一大语言模型更强的功能和更好的体验。从学生视角，可以为学生分析和比较不同概念，还可以给出练习题的详细解题步骤和相,response_1761903861983.json.normalized.txt
SEG-047,teaching_innovation,5,“环境学科人工智能引擎根据我的学习进度推荐了很多有用的资料，帮助我更好地理解课程内容。这种个性化的支持让我在学习中感觉更加自信。”,response_1761903861983.json.normalized.txt
SEG-075,teaching_innovation,5,■ 麻省理工大学、哈佛大学、斯坦福大学、耶鲁大学及英国顶尖高校组成的罗素大学集团等，均发布AI赋能教育教学的指南：,response_1761904025700.json.normalized.txt
SEG-077,teaching_innovation,5,调整教学与评估方式，确保教育公平,response_1761904025700.json.normalized.txt
SEG-105,teaching_innovation,5,能力培养为牵引的个性化学习,response_1761904025700.json.normalized.txt
SEG-112,teaching_innovation,5,··,response_1761904025700.json.normalized.txt
SEG-119,teaching_innovation,5,学生C,response_1761904025700.json.normalized.txt
SEG-127,teaching_innovation,5,- 实践课题牵引：秀钟书院《超越课堂》,response_1761904025700.json.normalized.txt
SEG-128,teaching_innovation,5,- 综合任务牵引：研究生AI学术训练助手,response_1761904025700.json.normalized.txt
SEG-130,teaching_innovation,5,学生B（秀钟书院，大二）：引擎能生成系统的学习方案，比其他大模型给出的回答更加具体，给出了每个知识节点的整体结构、要点与深入研究方面的内容，使用起来体验很好，暂未在其他大模型上看到类似功能,response_1761904025700.json.normalized.txt
SEG-131,teaching_innovation,5,研究生试用感受,response_1761904025700.json.normalized.txt
SEG-132,teaching_innovation,5,学生E（水污染控制方向，博士一年级）：引擎生成知识链的逻辑性较强，涉及到的知识系统全面。能够出题并且根据我的答案继续出不同的题目，帮助我更好地理解想要学习的知识点。当我正确回答问题时，会提出更加深入的问题；当我回复错误的答案时，就通过新的问,response_1761904025700.json.normalized.txt
SEG-135,teaching_innovation,5,大气污染控制工程,response_1761904025700.json.normalized.txt
SEG-138,teaching_innovation,5,水处理工程-物化技术,response_1761904025700.json.normalized.txt
SEG-140,teaching_innovation,5,环境工程、市政工程等专业的主干专业课，主要讲述水和废水处理中主要的物化处理方法的基本原理、工艺构成、运行特点、工艺计算方法以及部分工程实例。该课程是从事水处理技术研究、…,response_1761904025700.json.normalized.txt
SEG-143,teaching_innovation,5,大气污染是当前人类面临的共同挑战。本课程主要讲授大气污染的来源、影响、传输扩散和控制技术，教会学生主要大气污染物控制的基本原理和工艺计算方法。,response_1761904025700.json.normalized.txt
SEG-151,teaching_innovation,5,界面中包含“习题列表”，学生可以进行客观题和主观题的练习。该平台是清华大学环境学科知识引擎与虚拟仿真资源共同支撑学习范式变革的体现，旨在通过智能技术实现个性化学习路径的动态调整。,response_1761904025700.json.normalized.txt
SEG-155,teaching_innovation,5,环境学科实验仿真教学模块,response_1761904025700.json.normalized.txt
SEG-194,teaching_innovation,5,这些模块构成了一个以人工智能为驱动的、模块化的课程体系。该体系旨在淡化传统知识边界，实现超越课程与课堂的教育模式，与上下文所述的“建设一批示范课程”、“新建一批模块课组”、“以AI为驱动”、“实现超越课程、超越课堂”的目标高度一致。该图示体,response_1761904025700.json.normalized.txt
SEG-199,teaching_innovation,5,02 人工智能时代高等教育发展面临的关键挑战,response_1761904025700.json.normalized.txt
SEG-201,teaching_innovation,5,2.2人才培养模式单一，缺乏个性化和创新性,response_1761904025700.json.normalized.txt
SEG-202,teaching_innovation,5,2024年11月1日摩根科技评论,response_1761904025700.json.normalized.txt
SEG-203,teaching_innovation,5,坚持学校统筹、院系实施、教师投入、学生参与，全方位推动人工智能赋能教育教学工作，培育全校人工智能教学生态,response_1761904025700.json.normalized.txt
SEG-204,teaching_innovation,5,新建一批模块课组：以AI为驱动，建设模块化课程，淡化知识边界，实现超越课程、超越课堂,response_1761904025700.json.normalized.txt
SEG-205,teaching_innovation,5,打造一批学习空间：打造深度集成人工智能和空间计算技术的学习空间，以学生为中心，融合虚拟与现实,response_1761904025700.json.normalized.txt
SEG-211,teaching_innovation,5,2.1 教学内容与社会发展变革衔接不足,response_1761904336509.json.normalized.txt
